index,Student Number,Name,Email,Age,Degree,Score/GPA,Group
1,a1633558,Suzann Delapaz,Suzann.Delapaz1788@hotmail.com,49,Computer Science,69,3
2,a1615142,Eileen Ehrenberg,Eileen.Ehrenberg66@gmail.com,49,Software Engineering,28,2
3,a1632854,Charlena Keaton,Charlena.Keaton7509@live.com,49,Electrical Engineering,9,4
4,a1615270,Julianna Mehan,Julianna.Mehan3479@gmail.com,39,Computer Science,9,4
5,a1611113,Solange Stouffer,Solange.Stouffer9260@hotmail.com,32,Software Engineering,87,4
6,a1622652,Cristen Mcclaine,Cristen.Mcclaine3841@hotmail.com,59,Computer Science,70,4
7,a1619730,Josiah Romberg,Josiah.Romberg2267@gmail.com,26,Physics,77,2
8,a1597841,Dannielle Parrott,Dannielle.Parrott7459@hotmail.com,53,Software Engineering,63,3
9,a1609226,Olive Scalia,Olive.Scalia1039@gmail.com,27,Electrical Engineering,96,3
10,a1601951,Mercy Weatherhead,Mercy.Weatherhead3976@gmail.com,19,Maths,7,2
11,a1620580,Candice Larimer,Candice.Larimer2042@live.com,48,Electrical Engineering,62,1
12,a1630365,Birgit Hakes,Birgit.Hakes234@live.com,50,Electrical Engineering,77,1
13,a1621868,Alba Prindle,Alba.Prindle6578@live.com,23,Electrical Engineering,95,2
14,a1618373,Diego Capasso,Diego.Capasso7422@hotmail.com,54,Software Engineering,90,4
15,a1617766,Lavonia Burfield,Lavonia.Burfield6226@gmail.com,19,Computer Science,85,3
16,a1637009,Trista Beaudreau,Trista.Beaudreau8945@gmail.com,20,Maths,31,3
17,a1608669,Elena Zellner,Elena.Zellner954@live.com,55,Physics,74,1
18,a1627294,Raguel Bruce,Raguel.Bruce6511@live.com,29,Computer Science,71,1
19,a1629862,Loraine Pryor,Loraine.Pryor1721@live.com,43,Electrical Engineering,92,1
20,a1637070,Simone Wisecup,Simone.Wisecup3142@gmail.com,18,Physics,80,2
